"Industry","default_rate"
"Accommodation and Food Services",0.260278330019881
"Administrative and Support Services",0.268389783793716
"Agriculture, Forestry, Fishing and Hunting",0.166793602437167
"Arts, Entertainment, and Recreation",0.267495219885277
"Construction",0.307256014081752
"Educational Services",0.264352903016542
"Finance and Insurance",0.339577992506409
"Health Care and Social Assistance",0.145175834084761
"Information",0.288121660501439
"Management of Companies and Enterprises",0.274193548387097
"Manufacturing",0.218958987994521
"Mining, Quarrying, and Oil and Gas Extraction",0.12707182320442
"Other Services",0.273887068799383
"Professional, Scientific, and Technical Services",0.229243919301112
"Public Administration",0.278688524590164
"Real Estate and Rental and Leasing",0.378708025899714
"Retail Trade",0.299549502792252
"Transportation and Warehousing",0.322744139741153
"Utilities",0.23444976076555
"Wholesale Trade",0.278311911749823
