"StateName","default_rate"
"alabama",0.310731132075472
"alaska",0.1671388101983
"arizona",0.362457077451354
"arkansas",0.262526464361327
"california",0.325412712855843
"colorado",0.312381933711145
"connecticut",0.182804503582395
"delaware",0.266932270916335
"florida",0.359553231939163
"georgia",0.368629941260518
"hawaii",0.194630872483221
"idaho",0.216308427157967
"illinois",0.322425044925754
"indiana",0.241584158415842
"iowa",0.188548864758144
"kansas",0.201684604585868
"kentucky",0.248939779474131
"louisiana",0.279534109816972
"maine",0.147531231409875
"maryland",0.24557421697685
"massachusetts",0.187353410263627
"michigan",0.34590815957575
"minnesota",0.201766620176662
"mississippi",0.208188153310105
"missouri",0.2430426716141
"montana",0.107938718662953
"nebraska",0.16884176182708
"nevada",0.373255813953488
"new hampshire",0.161091729940488
"new jersey",0.292889908256881
"new mexico",0.161214953271028
"new york",0.28161977386274
"north carolina",0.262663701507289
"north dakota",0.0885844748858448
"ohio",0.244108455106006
"oklahoma",0.218048024786987
"oregon",0.240720524017467
"pennsylvania",0.197328077091546
"rhode island",0.171722643553629
"south carolina",0.261484098939929
"south dakota",0.129124820659971
"tennessee",0.256873527101335
"texas",0.266600882284653
"utah",0.227124666864081
"vermont",0.108831400535236
"virginia",0.255432158377595
"washington",0.232469623773972
"west virginia",0.191131498470948
"wisconsin",0.191807658058771
"wyoming",0.0855949895615866
NA,0.233333333333333
